# t/tauB	proportion
3.919111111111111313e+03 5.047899999999999610e-01
3.925777777777777828e+03 5.036880000000000246e-01
3.932444444444444343e+03 5.047840000000000105e-01
3.939111111111111313e+03 5.064440000000000053e-01
3.945777777777777828e+03 5.034980000000000011e-01
3.952444444444444343e+03 5.034270000000000689e-01
3.959111111111111313e+03 5.044999999999999485e-01
3.965777777777777828e+03 5.065979999999999928e-01
3.972444444444444343e+03 5.095499999999999474e-01
3.979111111111111313e+03 5.067919999999999092e-01
3.985777777777777828e+03 5.040740000000000220e-01
3.992444444444444343e+03 5.094250000000000167e-01
3.999111111111111313e+03 5.090230000000000032e-01
4.005777777777777828e+03 5.063790000000000235e-01
4.012444444444444343e+03 5.054870000000000196e-01
4.019111111111111313e+03 5.076750000000000984e-01
4.025777777777777828e+03 5.069479999999999542e-01
4.032444444444444343e+03 5.100459999999999994e-01
4.039111111111111313e+03 5.086809999999999388e-01
4.045777777777777828e+03 5.109380000000000033e-01
4.052444444444444343e+03 5.111269999999999980e-01
4.059111111111111313e+03 5.115979999999999972e-01
4.065777777777777828e+03 5.084400000000000031e-01
4.072444444444444343e+03 5.094480000000000119e-01
4.079111111111111313e+03 5.119839999999999947e-01
4.085777777777777828e+03 5.148129999999999651e-01
4.092444444444444343e+03 5.132940000000000280e-01
4.099111111111111313e+03 5.154039999999999733e-01
4.105777777777777374e+03 5.140160000000000284e-01
4.112444444444444343e+03 5.150669999999999416e-01
4.119111111111111313e+03 5.170680000000000831e-01
4.125777777777777374e+03 5.135250000000000092e-01
4.132444444444444343e+03 5.128770000000000273e-01
4.139111111111111313e+03 5.145790000000000086e-01
4.145777777777777374e+03 5.110870000000000690e-01
